https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1655078400000,2022-06-13 00:00:00,ADA/USDT,0.48950,0.49770,0.48680,0.49210,94117512,46357913.18950,68854
1655074800000,2022-06-12 23:00:00,ADA/USDT,0.50610,0.51150,0.48850,0.48960,106305952,53159872.89010,78877
1655071200000,2022-06-12 22:00:00,ADA/USDT,0.51220,0.51640,0.50320,0.50610,82192270,41911136.73520,65035
1655067600000,2022-06-12 21:00:00,ADA/USDT,0.51490,0.52140,0.51130,0.51210,29761625,15371779.95370,28012
1655064000000,2022-06-12 20:00:00,ADA/USDT,0.51680,0.52150,0.51340,0.51500,40240197,20861802.08430,32473
1655060400000,2022-06-12 19:00:00,ADA/USDT,0.52490,0.52750,0.51600,0.51690,63199125,32866397.90500,49236
1655056800000,2022-06-12 18:00:00,ADA/USDT,0.53220,0.53310,0.52310,0.52490,39354940,20744496.57950,34570
1655053200000,2022-06-12 17:00:00,ADA/USDT,0.52920,0.53620,0.52880,0.53210,52973002,28242222.86500,41472
1655049600000,2022-06-12 16:00:00,ADA/USDT,0.53400,0.54030,0.52510,0.52910,73145489,38952073.48520,58782
1655046000000,2022-06-12 15:00:00,ADA/USDT,0.53360,0.54860,0.53080,0.53390,155485983,83796629.29760,117633
1655042400000,2022-06-12 14:00:00,ADA/USDT,0.50550,0.54120,0.49690,0.53360,221909389,115371020.36820,159977
1655038800000,2022-06-12 13:00:00,ADA/USDT,0.51190,0.51580,0.50220,0.50540,61556262,31336260.52550,51303
1655035200000,2022-06-12 12:00:00,ADA/USDT,0.51470,0.52140,0.51160,0.51190,38764374,20024299.97520,33616
1655031600000,2022-06-12 11:00:00,ADA/USDT,0.51460,0.51800,0.50890,0.51470,49534733,25423368.56180,40453
1655028000000,2022-06-12 10:00:00,ADA/USDT,0.51200,0.52190,0.51050,0.51450,56061094,28922446.50330,44874
1655024400000,2022-06-12 09:00:00,ADA/USDT,0.52070,0.52260,0.51110,0.51210,55232546,28544498.82930,42548
1655020800000,2022-06-12 08:00:00,ADA/USDT,0.51990,0.52850,0.51520,0.52070,77260723,40313799.63070,57729
1655017200000,2022-06-12 07:00:00,ADA/USDT,0.51030,0.52170,0.50590,0.51980,57569937,29470156.04890,43800
1655013600000,2022-06-12 06:00:00,ADA/USDT,0.50120,0.51600,0.49990,0.51020,79919439,40716732.35270,55765
1655010000000,2022-06-12 05:00:00,ADA/USDT,0.50690,0.51100,0.49860,0.50120,127950467,64415529.47190,87452
1655006400000,2022-06-12 04:00:00,ADA/USDT,0.51770,0.52400,0.50540,0.50680,82102478,42129365.93960,63876
1655002800000,2022-06-12 03:00:00,ADA/USDT,0.51630,0.52870,0.51460,0.51760,92674089,48355520.31820,74244
1654999200000,2022-06-12 02:00:00,ADA/USDT,0.53340,0.53810,0.50920,0.51640,143424597,74826730.92280,120076
1654995600000,2022-06-12 01:00:00,ADA/USDT,0.55390,0.55440,0.53140,0.53330,85405382,46317850.84740,71858
1654992000000,2022-06-12 00:00:00,ADA/USDT,0.55370,0.56050,0.55140,0.55390,42739044,23746678.66470,38763
1654988400000,2022-06-11 23:00:00,ADA/USDT,0.56500,0.56520,0.54840,0.55370,57854572,32076084.25160,50305
1654984800000,2022-06-11 22:00:00,ADA/USDT,0.56140,0.57080,0.55980,0.56490,33718342,19085449.31480,32779
1654981200000,2022-06-11 21:00:00,ADA/USDT,0.55310,0.56370,0.55100,0.56150,32618462,18197219.94970,31233
1654977600000,2022-06-11 20:00:00,ADA/USDT,0.55830,0.56240,0.55060,0.55320,45371767,25277769.84790,39401
1654974000000,2022-06-11 19:00:00,ADA/USDT,0.56560,0.57210,0.55760,0.55830,49444958,27954619.93230,43868
1654970400000,2022-06-11 18:00:00,ADA/USDT,0.55850,0.57320,0.55700,0.56560,70424680,39739542.61190,59001
1654966800000,2022-06-11 17:00:00,ADA/USDT,0.55740,0.56170,0.55360,0.55860,56095401,31327197.65670,51317
1654963200000,2022-06-11 16:00:00,ADA/USDT,0.55240,0.56220,0.54530,0.55720,108606465,60107674.93110,91633
1654959600000,2022-06-11 15:00:00,ADA/USDT,0.55840,0.56020,0.54270,0.55240,154611295,85192802.48320,125166
1654956000000,2022-06-11 14:00:00,ADA/USDT,0.57470,0.57490,0.55250,0.55840,114305974,64549213.25280,86993
1654952400000,2022-06-11 13:00:00,ADA/USDT,0.56720,0.58000,0.56050,0.57480,123476535,70457687.86250,97406
1654948800000,2022-06-11 12:00:00,ADA/USDT,0.57970,0.58680,0.56500,0.56730,101167427,58470570.30400,82724
1654945200000,2022-06-11 11:00:00,ADA/USDT,0.58940,0.58990,0.57530,0.57970,108838962,63364574.70920,90238
1654941600000,2022-06-11 10:00:00,ADA/USDT,0.59480,0.60020,0.58500,0.58940,52305123,30945132.31530,46548
1654938000000,2022-06-11 09:00:00,ADA/USDT,0.58970,0.60280,0.58240,0.59470,118072770,69979383.80480,94144
1654934400000,2022-06-11 08:00:00,ADA/USDT,0.60780,0.60880,0.58920,0.58950,82002615,49217980.42340,67769
