https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1655078400000,2022-06-13 00:00:00,BNB/USDT,254.510,256.880,253.300,256.080,82581.72,21078015.38856,39339
1655074800000,2022-06-12 23:00:00,BNB/USDT,257.510,259.660,254.180,254.550,102963.95,26463595.58103,47725
1655071200000,2022-06-12 22:00:00,BNB/USDT,261.290,261.980,257.240,257.550,104688.87,27181690.28360,42803
1655067600000,2022-06-12 21:00:00,BNB/USDT,261.760,263.470,261.120,261.280,32192.91,8445771.92520,17814
1655064000000,2022-06-12 20:00:00,BNB/USDT,261.960,263.370,261.200,261.760,38979.25,10221589.21900,20928
1655060400000,2022-06-12 19:00:00,BNB/USDT,264.760,265.460,261.750,262.020,69956.20,18404859.33287,36407
1655056800000,2022-06-12 18:00:00,BNB/USDT,266.790,266.990,264.260,264.760,45478.26,12076086.24180,23364
1655053200000,2022-06-12 17:00:00,BNB/USDT,263.130,268.300,262.930,266.750,110204.46,29344616.49474,42400
1655049600000,2022-06-12 16:00:00,BNB/USDT,263.870,265.490,261.770,263.130,83891.60,22136147.18190,39124
1655046000000,2022-06-12 15:00:00,BNB/USDT,263.190,267.400,262.910,263.870,167847.63,44445507.55490,66060
1655042400000,2022-06-12 14:00:00,BNB/USDT,256.080,264.610,252.430,263.130,265523.83,68764880.85086,89401
1655038800000,2022-06-12 13:00:00,BNB/USDT,257.310,258.480,255.120,256.080,68118.83,17492992.44590,32973
1655035200000,2022-06-12 12:00:00,BNB/USDT,258.210,260.350,257.210,257.310,62176.96,16089734.55740,27827
1655031600000,2022-06-12 11:00:00,BNB/USDT,257.180,259.030,255.890,258.250,49697.70,12791717.75350,26841
1655028000000,2022-06-12 10:00:00,BNB/USDT,256.360,259.140,255.520,257.170,61150.49,15747280.59380,30999
1655024400000,2022-06-12 09:00:00,BNB/USDT,257.700,259.380,255.780,256.410,56506.83,14559579.27580,27067
1655020800000,2022-06-12 08:00:00,BNB/USDT,258.420,259.620,256.570,257.710,91461.56,23596878.46250,37231
1655017200000,2022-06-12 07:00:00,BNB/USDT,254.910,258.580,253.650,258.430,73028.84,18653172.77940,32312
1655013600000,2022-06-12 06:00:00,BNB/USDT,253.200,257.490,252.780,254.910,111091.15,28339884.83623,40267
1655010000000,2022-06-12 05:00:00,BNB/USDT,254.570,256.290,250.590,253.260,212147.87,53756053.47476,72873
1655006400000,2022-06-12 04:00:00,BNB/USDT,257.300,259.400,254.550,254.560,89539.55,23033932.98610,39747
1655002800000,2022-06-12 03:00:00,BNB/USDT,256.100,260.360,255.160,257.300,172738.53,44462854.75470,57429
1654999200000,2022-06-12 02:00:00,BNB/USDT,265.520,266.820,254.000,256.110,273044.50,70914466.52440,102579
1654995600000,2022-06-12 01:00:00,BNB/USDT,270.970,271.200,264.150,265.500,96847.97,25874679.33634,46836
1654992000000,2022-06-12 00:00:00,BNB/USDT,269.670,271.840,268.870,270.980,38984.25,10543244.40580,23807
1654988400000,2022-06-11 23:00:00,BNB/USDT,272.810,273.000,268.030,269.670,55388.59,14966005.71760,32110
1654984800000,2022-06-11 22:00:00,BNB/USDT,271.120,273.560,270.680,272.800,38628.21,10530792.57580,24447
1654981200000,2022-06-11 21:00:00,BNB/USDT,268.820,272.170,268.470,271.110,32582.49,8812045.25260,20209
1654977600000,2022-06-11 20:00:00,BNB/USDT,271.360,271.490,268.290,268.830,51939.68,14018520.47390,31790
1654974000000,2022-06-11 19:00:00,BNB/USDT,272.670,273.770,271.230,271.370,46694.00,12720778.99670,25416
1654970400000,2022-06-11 18:00:00,BNB/USDT,270.440,273.900,269.570,272.610,98717.61,26813377.40110,45361
1654966800000,2022-06-11 17:00:00,BNB/USDT,271.950,272.650,269.170,270.450,94053.26,25478874.49270,47218
1654963200000,2022-06-11 16:00:00,BNB/USDT,268.420,273.200,265.430,271.980,221012.21,59456041.33781,79271
1654959600000,2022-06-11 15:00:00,BNB/USDT,270.480,272.370,264.900,268.420,245104.89,65750726.45634,97965
1654956000000,2022-06-11 14:00:00,BNB/USDT,277.000,277.040,269.000,270.490,148212.23,40503846.21599,60684
1654952400000,2022-06-11 13:00:00,BNB/USDT,274.810,279.840,273.720,277.000,143934.77,39812215.40373,59701
1654948800000,2022-06-11 12:00:00,BNB/USDT,278.590,280.130,274.730,274.790,113047.20,31388492.41330,52359
1654945200000,2022-06-11 11:00:00,BNB/USDT,282.570,282.870,277.400,278.610,139535.05,39055835.39307,63911
1654941600000,2022-06-11 10:00:00,BNB/USDT,284.400,285.490,281.910,282.580,67574.30,19168947.67370,33008
1654938000000,2022-06-11 09:00:00,BNB/USDT,284.730,285.950,281.290,284.410,186922.06,53041823.01861,69501
1654934400000,2022-06-11 08:00:00,BNB/USDT,289.200,289.600,284.590,284.720,96573.30,27680324.79889,40967
1654930800000,2022-06-11 07:00:00,BNB/USDT,288.260,290.400,287.900,289.200,51695.22,14955797.25140,23217
1654927200000,2022-06-11 06:00:00,BNB/USDT,287.420,289.250,287.280,288.270,33903.62,9772647.89300,18187
